ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-1628,Aluno-1628,6A,6A,16.0,Feminino,2024,Pública,8.334,8.509823509666667,7.51,6.875,5.833333333333333,6.798,10.0,Fase 6 (2° EM),0,Cursando,7.500131368600001,Ametista,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1629,Aluno-1629,6A,6A,17.0,Feminino,2024,Pública,9.585,8.645502645666667,7.51,7.1875,7.25,7.266,5.0,Fase 7 (3° EM),-1,Cursando,7.560550529133334,Ametista,2024,6.0,0.0,1,Moderada (−1 fase)
RA-163,Aluno-163,4,L,15.0,Menina,2021,Escola Pública,8.8,7.9,5.6,,6.7,6.5,5.0,Fase 5 (1º EM),-1,,6.797,Ágata,2022,4.0,1.0,1,Moderada (−1 fase)
RA-1630,Aluno-1630,6L,6L,16.0,Masculino,2024,Privada - Programa de Apadrinhamento,8.334,9.833333333333334,7.51,8.25,7.333333333333333,8.702,10.0,Fase 6 (2° EM),0,Cursando,8.583133333333334,Topázio,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1631,Aluno-1631,6L,6L,17.0,Masculino,2024,Privada,9.585,10.0,7.51,8.5,7.166666666666667,8.468,5.0,Fase 7 (3° EM),-1,Cursando,8.186433333333333,Topázio,2024,6.0,0.0,1,Moderada (−1 fase)
RA-1632,Aluno-1632,6L,6L,16.0,Masculino,2024,Pública,9.168,10.0,7.51,7.75,6.666666666666667,8.066,10.0,Fase 6 (2° EM),0,Cursando,8.389333333333335,Topázio,2024,6.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1633,Aluno-1633,8B,8B,21.0,Masculino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1634,Aluno-1634,8B,8B,21.0,Feminino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1635,Aluno-1635,8D,8D,20.0,Feminino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1636,Aluno-1636,8E,8E,20.0,Feminino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1637,Aluno-1637,9,9,23.0,Masculino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1638,Aluno-1638,9,9,22.0,Feminino,2021,Bolsista Universitário *Formado (a),,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1639,Aluno-1639,9,9,21.0,Masculino,2021,Bolsista Universitário *Formado (a),,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
RA-164,Aluno-164,4,L,16.0,Menino,2018,Escola Pública,8.3,7.3,5.6,,6.5,7.208,5.0,Fase 6 (2º EM),-2,,6.776,Ágata,2022,4.0,4.0,1,Severa (≤ −2 fases)
RA-164,Aluno-164,FASE 5,5M,16.0,Masculino,2018,Privada,0.0,8.2,2.52,6.875,5.8,6.9625,5.0,Fase 6 (2° EM),-1,,5.638666667,Quartzo,2023,5.0,5.0,1,Moderada (−1 fase)
RA-164,Aluno-164,5L,5L,17.0,Masculino,2021,Privada,9.585,8.084795321666666,6.26,6.25,5.666666666666667,6.886666667,5.0,Fase 7 (3° EM),-2,Cursando,6.837125731066667,Ágata,2024,5.0,3.0,1,Severa (≤ −2 fases)
RA-1640,Aluno-1640,9,9,23.0,Feminino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1641,Aluno-1641,9,9,21.0,Masculino,2021,Privada,,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1642,Aluno-1642,9,9,23.0,Masculino,2021,Bolsista Universitário *Formado (a),,0.0,,,,,10.0,Fase 8 (Universitários),1,Cursando,,INCLUIR,2024,9.0,3.0,0,Adequada/adiantada (≥ 0)
